Date,Original vs matched benchmark,Original vs cash,Original vs zero,Capped vs matched benchmark,Capped vs cash,Capped vs zero,Drawdown vs matched benchmark,Drawdown vs cash,Drawdown vs zero
2024-01-23,-0.023977322514629362,-0.022793161643134798,-0.02269104613608408,-0.014423157290978206,-0.013712286796484256,-0.013610171289433537,-0.023977371921485857,-0.02279323386188278,-0.022691118354832063
2024-01-24,-0.009589957470140686,-0.004137850173595106,-0.004035734666544388,-0.005726861401318284,-0.0024529048496330893,-0.002350789342582371,-0.00817446219204454,-0.0029657340826768326,-0.0028636185756261145
2024-01-25,-0.003431620350455411,0.007206722297797982,0.0073088378048487,-0.00206916121180023,0.004321834950011069,0.004423950457061787,-0.0029505926331243604,0.0063542482556412675,0.006456363762691986
2024-01-26,0.001188083709896759,0.008639975251571482,0.0087420907586222,0.0007093692739350566,0.005184538234347977,0.005286653741398695,0.0010419321180865637,0.007919309154014094,0.008021424661064813
2024-01-29,-0.01089803766225006,0.0027874607818931126,0.003093838586840425,-0.0065453370909314135,0.0016803385764864605,0.001986716381433773,-0.010421395070578487,0.0029233268793330976,0.00322970468428041
2024-01-30,-0.006297763252413824,-0.003627712203179337,-0.003525596696128619,-0.0037758297676955266,-0.002165653447002561,-0.0020635379399518428,-0.00624710593914013,-0.003640870065417104,-0.003538754558366386
2024-01-31,0.00803461187638721,0.010449475712250552,0.01055159121930127,0.005268526965302112,0.006753401076803919,0.006855516583854637,0.00777087937335752,0.010121294829835622,0.01022341033688634
2024-02-01,0.011164379557815685,0.00484847696356919,0.004950592470619908,0.007265081165730325,0.003156740019890111,0.0032588555269408293,0.011081521267058303,0.0047660313528216395,0.004868146859872358
2024-02-02,-0.008598325348994518,-0.007583547581079123,-0.007481432074028405,-0.005592585850809795,-0.0049366242072094975,-0.004834508700158779,-0.008598481425796889,-0.007583684971371377,-0.007481569464320659
2024-02-05,0.011074316040088128,0.015428377848131157,0.01573475565307847,0.0071948775183030556,0.010027960908209831,0.010334338713157143,0.01107408658396647,0.0154283780762267,0.015734755881174012
2024-02-06,0.01884307900251847,0.024563240771833392,0.02466535627888411,0.01228542920885034,0.01600878513465834,0.01611090064170906,0.018842793591804075,0.02456324076911268,0.024665356276163397
2024-02-07,-0.008049114888156739,-0.011073553968944798,-0.010971438461894079,-0.005269054508778459,-0.007239784053518075,-0.007137668546467357,-0.008048972464931303,-0.011073553968955012,-0.010971438461904293
2024-02-08,0.014292652205488032,0.019185793067687893,0.01928790857473861,0.00928775889755995,0.01247121368711582,0.012573329194166538,0.014292408041620686,0.019185793067688115,0.019287908574738832
