variant,Date,cash_gbp,stock_value_gbp,dividend_reserve_gbp,equity_gbp,dividends_accrued_gbp,cost_gbp,positions,pending_exits,stale_positions,stale_value_gbp,cash_interest_gbp,equity_return
Original,2025-05-13,54.40325733634904,12407.155383003044,142.98788525509607,12604.54652559449,0.0,10.900700966016798,14,0,0,0.0,7.366197770818847e-05,0.0034153457699777068
Original,2025-05-14,0.0,12374.639629702719,142.98788525509607,12517.627514957814,0.0,7.365629986414642,14,0,0,0.0,0.005555416208111985,-0.006895845912439524
Original,2025-05-15,3.865352482534945e-12,12280.252620249381,149.5892759825995,12429.841896231985,6.601390727503441,7.323006167138494,14,0,0,0.0,0.0,-0.007012959813745168
Original,2025-05-16,15.867535089381136,12207.792754665705,149.5892759825995,12373.249565737686,0.0,9.335491522764185,14,0,0,0.0,3.947124286838081e-16,-0.004552940493270041
Original,2025-05-19,70.08498724258217,12221.980003002533,149.5892759825995,12441.654266227715,0.0,10.831215987109276,14,0,0,0.0,0.0048614605706090485,0.005528434557680484
Original,2025-05-20,2.3803181647963356e-12,12230.506596434745,149.5892759825995,12380.095872417347,0.0,7.1162724694682264,14,0,0,0.0,0.007156764008919392,-0.004947765987796782
Original,2025-05-21,3.296918293926865e-12,11931.537069133328,149.5892759825995,12081.126345115932,0.0,2.3149808509334555,14,0,0,0.0,2.430673963402127e-16,-0.024149209374663583
Original,2025-05-22,0.0,11704.674094439175,149.5892759825995,11854.263370421775,0.0,3.6316299315388205,14,0,0,0.0,3.3666648328913045e-16,-0.018778296676441264
Original,2025-05-23,3.254285729781259e-12,11490.009267304958,149.5892759825995,11639.598543287562,0.0,8.84447226351496,14,0,0,0.0,0.0,-0.01810866018632884
Original,2025-05-27,1.9255708139098715e-12,11579.954988942703,149.5892759825995,11729.544264925305,0.0,1.9414840114467764,14,0,0,0.0,1.3294557692852237e-15,0.007727562192393123
Original,2025-05-28,0.0,11549.56009302003,149.5892759825995,11699.149369002631,0.0,8.650118970820206,14,0,0,0.0,1.9663064002447057e-16,-0.002591310901444266
Original,2025-05-29,0.0,11480.050154509001,149.5892759825995,11629.639430491601,0.0,4.986414223512139,14,0,0,0.0,0.0,-0.005941452349963128
Original,2025-05-30,4.774847184307873e-12,10916.572359590322,149.5892759825995,11066.161635572927,0.0,4.873251417506802,14,0,0,0.0,0.0,-0.048451871469144536
Original,2025-06-02,75.58320639311547,10982.107305881136,149.5892759825995,11207.279788256852,0.0,3.4935548186841645,14,0,0,0.0,1.4629071992871013e-15,0.012752222254760026
Original,2025-06-03,20.14410537289593,10777.024685945886,149.5892759825995,10946.758067301382,0.0,5.137882609211065,14,0,0,0.0,0.007718217445352069,-0.023245758638813396
Original,2025-06-04,0.0,11136.355670236851,149.5892759825995,11285.944946219452,0.0,6.103595268982097,15,0,0,0.0,0.0020570255342363636,0.030985144353490535
Original,2025-06-05,8.659911687299882,11277.666141798092,149.5892759825995,11435.915329467993,0.0,6.390570797364131,14,0,0,0.0,0.0,0.01328824338264889
Original,2025-06-06,0.0,11404.359584664424,149.5892759825995,11553.948860647024,0.0,5.262379259661399,14,0,0,0.0,0.0008843112729630677,0.010321301599259147
Original,2025-06-09,190.87992153970708,10855.320777847797,149.5892759825995,11195.789975370104,0.0,3.65341210995335,14,0,0,0.0,0.0,-0.0309988290234533
Original,2025-06-10,89.31816472409855,10802.84130312704,149.5892759825995,11041.748743833738,0.0,3.300847329114373,15,0,0,0.0,0.019491799973828487,-0.013758853272100136
Original,2025-06-11,39.25052336108024,10739.563633242631,149.5892759825995,10928.403432586312,0.0,4.961188676645575,15,0,0,0.0,0.009120769679640891,-0.010265159430540627
Original,2025-06-12,81.55249408440486,10805.415715983308,149.5892759825995,11036.557486050313,0.0,3.246052085706583,15,0,0,0.0,0.004008087095022767,0.009896601468930788
Original,2025-06-13,26.534450378989533,10794.619538043455,149.5892759825995,10970.743264405044,0.0,6.085097891034224,15,0,0,0.0,0.008327774284679694,-0.005963292605366766
Original,2025-06-16,674.6115769471554,10189.286941998462,149.5892759825995,11013.487794928218,0.0,6.0456157271914925,15,1,1,735.0829690940501,0.008129566662598195,0.0038962292246742525
Original,2025-06-17,4.479971948967432e-12,10815.75458705432,149.5892759825995,10965.343863036924,0.0,7.490572746189483,15,0,0,0.0,0.06888830324224333,-0.004371361079045677
Original,2025-06-18,66.6652093209965,10780.503605522777,149.5892759825995,10996.758090826374,0.0,6.186886208198654,15,0,0,0.0,4.574746071418033e-16,0.002864864812433643
Original,2025-06-19,24.550532380420357,10940.316425716446,149.5892759825995,11114.456234079467,0.0,7.432422629297039,15,0,0,0.0,0.006807551652455819,0.010702985578202373
Original,2025-06-20,27.774798732453405,11008.020696173473,149.5892759825995,11185.384770888526,0.0,7.452578790792513,15,0,0,0.0,0.002506990062391699,0.006381647047345007
Original,2025-06-23,7.963286561601567,10765.661185206478,149.5892759825995,10923.21374775068,0.0,12.035971533225375,15,0,0,0.0,0.008509581868502468,-0.0234387129730379
Original,2025-06-24,73.04363639265432,11100.02822404362,149.5892759825995,11322.661136418876,0.0,6.219490167727302,15,0,0,0.0,0.0008131750450281139,0.036568669065040416
Original,2025-06-25,0.0,11340.956921861944,149.5892759825995,11490.546197844544,0.0,7.868043507231592,15,0,0,0.0,0.007458887967064186,0.01482735016114467
Original,2025-06-26,0.0,11456.157174142152,149.5892759825995,11605.746450124752,0.0,10.802616581121587,15,0,0,0.0,0.0,0.010025655029507474
Original,2025-06-27,0.0,11423.621771622584,149.5892759825995,11573.211047605184,0.0,7.70073237580557,15,0,0,0.0,0.0,-0.0028033873270787435
Original,2025-06-30,1.0455079158021894,11405.192767167966,149.5892759825995,11555.827551066368,0.0,6.503140610275879,15,0,0,0.0,0.0,-0.001502046101752641
Original,2025-07-01,41.61438729342228,11589.194411377635,149.5892759825995,11780.398074653658,0.0,10.882576836193767,15,0,0,0.0,0.0001067625709476801,0.019433530190277715
Original,2025-07-02,0.0,11554.483448116336,149.5892759825995,11704.072724098936,0.0,8.087855540298888,15,0,0,0.0,0.004249474259072779,-0.006479012854322952
Original,2025-07-03,2.8421709430404007e-12,11501.595145102834,180.41452160260584,11682.009666705444,30.825245620006346,4.764137780537723,15,0,0,0.0,0.0,-0.001885075213866716
Original,2025-07-04,2.2737367544323206e-12,11565.516480542248,180.41452160260584,11745.931002144856,0.0,6.322293234344972,15,0,0,0.0,2.902297269733883e-16,0.005471775598816064
Original,2025-07-07,0.0,11369.26235301915,180.41452160260584,11549.676874621757,0.0,9.308444441664758,15,0,0,0.0,6.966224758510007e-16,-0.016708264971696418
Original,2025-07-08,49.43680223424951,11456.928673627406,180.41452160260584,11686.779997464262,0.0,4.766050711061042,15,0,0,0.0,0.0,0.011870732344362311
Original,2025-07-09,0.0,11359.83160904282,180.41452160260584,11540.246130645426,0.0,7.788901116156902,15,0,0,0.0,0.005048264127116465,-0.012538429477634616
Original,2025-07-10,21.526913588525986,11412.571055953513,180.41452160260584,11614.512491144646,0.0,9.297603789653238,15,0,0,0.0,0.0,0.0064354225775136165
Original,2025-07-11,0.0,11354.07408239651,180.41452160260584,11534.488603999116,0.0,9.299251785304376,15,0,0,0.0,0.0021982316963293255,-0.006889991052706046
Original,2025-07-14,40.82666629179436,11242.132165307541,180.41452160260584,11463.373353201941,0.0,7.727224190052245,15,0,0,0.0,0.0,-0.006165444627733052
Original,2025-07-15,43.75361623663973,11209.816938323227,180.41452160260584,11433.985076162473,0.0,6.257617315035705,15,0,0,0.0,0.004169035729577044,-0.0025636674418582084
Original,2025-07-16,1.3642420526593924e-12,11197.3162313647,180.41452160260584,11377.730752967309,0.0,10.602557168735954,14,0,0,0.0,0.004467922707307,-0.004919922740886151
Original,2025-07-17,11.33060226968211,11018.132674148746,201.54932810609273,11231.012604524522,21.13480650348689,6.7100956044202515,14,0,0,0.0,1.3931026894722638e-16,-0.012895203061869198
Original,2025-07-18,37.14588457845358,11180.896868421984,201.54932810609273,11419.59208110653,0.0,6.783449562881771,14,0,0,0.0,0.0011570301959586066,0.01679095939274755
Original,2025-07-21,152.73135238821794,11306.176627858265,201.54932810609273,11660.457308352577,0.0,6.163712054909933,15,0,0,0.0,0.011380674579972832,0.021092279438295725
Original,2025-07-22,0.0,11346.332057808384,201.54932810609273,11547.881385914478,0.0,9.239931972142246,14,0,0,0.0,0.015596239491664788,-0.009654503203528675
Original,2025-07-23,67.18910987928639,11160.289559336963,201.54932810609273,11429.027997322342,0.0,5.245870791499699,14,0,0,0.0,0.0,-0.010292224575246034
Original,2025-07-24,0.0,11278.679184069952,201.54932810609273,11480.228512176045,0.0,3.527906498044704,14,0,0,0.0,0.006861050023609746,0.004479866080098649
Original,2025-07-25,0.0,11181.402133963313,201.54932810609273,11382.951462069406,0.0,5.3543203476378975,14,0,0,0.0,0.0,-0.008473441970555329
Original,2025-07-28,6.181721801112872e-13,11153.0491995909,201.54932810609273,11354.598527696993,0.0,5.158880644060348,14,0,0,0.0,0.0,-0.002490824498979194
Original,2025-07-29,7.460698725481052e-14,10839.543172073916,201.54932810609273,11041.09250018001,0.0,8.554835372515651,14,0,0,0.0,6.312496561671195e-17,-0.02761048986032011
Original,2025-07-30,0.0,10775.441015560413,201.54932810609273,10976.990343666506,0.0,8.994284608577646,15,0,0,0.0,7.618530333051443e-18,-0.005805780226228352
Original,2025-07-31,19.938060263400853,11062.973278512452,201.54932810609273,11284.460666881947,0.0,6.000333622918074,15,0,0,0.0,0.0,0.02801043943642023
Original,2025-08-01,4.495021484666495,11008.773290039424,201.54932810609273,11214.817639630184,0.0,9.146191017737898,15,0,0,0.0,0.0020359851334049535,-0.006171586689663777
Original,2025-08-04,74.50403909009741,10886.268431445696,201.54932810609273,11162.321798641888,0.0,6.259159164638555,15,0,0,0.0,0.00137717481566313,-0.0046809357650891
Original,2025-08-05,129.67927998192292,10988.07194358326,201.54932810609273,11319.300551671276,0.0,7.6184004220310175,14,0,0,0.0,0.007608017729011823,0.01406327069413904
Original,2025-08-06,33.50420056151188,11253.604221030675,201.54932810609273,11488.65774969828,0.0,5.833188642415882,15,0,0,0.0,0.013242265429326104,0.014961807688903539
Original,2025-08-07,0.0,11204.991451296602,210.84359197172384,11415.835043268326,9.294263865631104,4.977970946168843,15,0,0,0.0,0.003421298428667741,-0.006338660966018206
Original,2025-08-08,1.6484591469634324e-12,11335.710756993294,210.84359197172384,11546.554348965019,0.0,6.190957846449316,15,0,0,0.0,0.0,0.011450700294918459
Original,2025-08-11,33.25956184524864,11560.522872960575,210.84359197172384,11804.626026777547,0.0,4.768853418369461,15,0,0,0.0,5.050512949919755e-16,0.022350535927253556
Original,2025-08-12,66.5885162629063,11537.515901247183,210.84359197172384,11814.948009481812,0.0,8.233363345932505,15,0,0,0.0,0.003396317022112284,0.0008744014999586547
