product_id,day,execution_at,reference_bar_start,assumed_available_at,age_upper_bound_minutes,reference_price_usd,raw_path
ICP-USD,2023-06-15 00:00:00+00:00,2023-06-15 00:05:00+00:00,2023-06-15 00:03:00+00:00,2023-06-15 00:04:00+00:00,2.0,3.78,/Users/oscarlewis/Desktop/python/trading_portfolio/crypto_portfolio/crypto_reversal/data/raw/execution_minute_probe_v1/ICP-USD_20230615_0000_0015_60s.json
INJ-USD,2023-06-15 00:00:00+00:00,2023-06-15 00:05:00+00:00,2023-06-15 00:04:00+00:00,2023-06-15 00:05:00+00:00,1.0,5.87,/Users/oscarlewis/Desktop/python/trading_portfolio/crypto_portfolio/crypto_reversal/data/raw/execution_minute_probe_v1/INJ-USD_20230615_0000_0015_60s.json
JASMY-USD,2023-06-15 00:00:00+00:00,2023-06-15 00:05:00+00:00,2023-06-15 00:04:00+00:00,2023-06-15 00:05:00+00:00,1.0,0.00345,/Users/oscarlewis/Desktop/python/trading_portfolio/crypto_portfolio/crypto_reversal/data/raw/execution_minute_probe_v1/JASMY-USD_20230615_0000_0015_60s.json
LDO-USD,2023-06-15 00:00:00+00:00,2023-06-15 00:05:00+00:00,2023-06-15 00:04:00+00:00,2023-06-15 00:05:00+00:00,1.0,1.673,/Users/oscarlewis/Desktop/python/trading_portfolio/crypto_portfolio/crypto_reversal/data/raw/execution_minute_probe_v1/LDO-USD_20230615_0000_0015_60s.json
LINK-USD,2023-06-15 00:00:00+00:00,2023-06-15 00:05:00+00:00,2023-06-15 00:04:00+00:00,2023-06-15 00:05:00+00:00,1.0,5.252,/Users/oscarlewis/Desktop/python/trading_portfolio/crypto_portfolio/crypto_reversal/data/raw/execution_minute_probe_v1/LINK-USD_20230615_0000_0015_60s.json
LTC-USD,2023-06-15 00:00:00+00:00,2023-06-15 00:05:00+00:00,2023-06-15 00:04:00+00:00,2023-06-15 00:05:00+00:00,1.0,73.12,/Users/oscarlewis/Desktop/python/trading_portfolio/crypto_portfolio/crypto_reversal/data/raw/execution_minute_probe_v1/LTC-USD_20230615_0000_0015_60s.json
OP-USD,2023-06-15 00:00:00+00:00,2023-06-15 00:05:00+00:00,2023-06-15 00:04:00+00:00,2023-06-15 00:05:00+00:00,1.0,1.082,/Users/oscarlewis/Desktop/python/trading_portfolio/crypto_portfolio/crypto_reversal/data/raw/execution_minute_probe_v1/OP-USD_20230615_0000_0015_60s.json
SOL-USD,2023-06-15 00:00:00+00:00,2023-06-15 00:05:00+00:00,2023-06-15 00:04:00+00:00,2023-06-15 00:05:00+00:00,1.0,14.46,/Users/oscarlewis/Desktop/python/trading_portfolio/crypto_portfolio/crypto_reversal/data/raw/execution_minute_probe_v1/SOL-USD_20230615_0000_0015_60s.json
STX-USD,2023-06-15 00:00:00+00:00,2023-06-15 00:05:00+00:00,2023-06-15 00:04:00+00:00,2023-06-15 00:05:00+00:00,1.0,0.4865,/Users/oscarlewis/Desktop/python/trading_portfolio/crypto_portfolio/crypto_reversal/data/raw/execution_minute_probe_v1/STX-USD_20230615_0000_0015_60s.json
UNI-USD,2023-06-15 00:00:00+00:00,2023-06-15 00:05:00+00:00,2023-06-15 00:04:00+00:00,2023-06-15 00:05:00+00:00,1.0,4.413,/Users/oscarlewis/Desktop/python/trading_portfolio/crypto_portfolio/crypto_reversal/data/raw/execution_minute_probe_v1/UNI-USD_20230615_0000_0015_60s.json
